metric,trainset,holdout,5-fold,model,selection,embed_selector
npv,0.6549707602339181,0.6206896551724138,0.6219396602598439,rf,embed_lgbm,lgbm
f1,0.7187454507222231,0.6725571725571726,0.67136040060239,rf,embed_lgbm,lgbm
bal-acc,0.732093316519546,0.6887767969735183,0.6888205128205127,rf,embed_lgbm,lgbm
acc,0.8174603174603174,0.7619047619047619,0.7498823529411764,rf,embed_linear,linear
auroc,0.9398486759142497,0.8738965952080707,0.8227051282051281,rf,embed_linear,linear
sens,0.8122320302648172,0.7548549810844893,0.7419615384615386,rf,embed_linear,linear
spec,0.6475409836065574,0.5327868852459017,0.507,rf,embed_linear,linear
ppv,0.7470588235294118,0.6902173913043478,0.6805675954592363,rf,embed_linear,linear
npv,0.9634146341463414,0.9558823529411765,0.9615686274509804,rf,embed_linear,linear
f1,0.8105882352941176,0.7465638618840094,0.7303283820859723,rf,embed_linear,linear
bal-acc,0.8122320302648172,0.7548549810844893,0.7419615384615386,rf,embed_linear,linear
acc,0.7857142857142857,0.7579365079365079,0.7577254901960785,rf,wrap,none
auroc,0.8249054224464061,0.7083543505674653,0.8163717948717949,rf,wrap,none
sens,0.7786885245901639,0.75,0.7495,rf,wrap,none
spec,0.5573770491803278,0.5,0.499,rf,wrap,none
ppv,0.7065217391304348,0.680628272251309,0.6820802005012531,rf,wrap,none
npv,1.0,1.0,1.0,rf,wrap,none
f1,0.7719074756956085,0.7383177570093458,0.736544764715467,rf,wrap,none
bal-acc,0.7786885245901639,0.75,0.7495,rf,wrap,none
acc,0.8253968253968254,0.7658730158730159,0.7059607843137256,sgd,none,none
auroc,0.8505674653215638,0.7813366960907945,0.7258653846153846,sgd,none,none
sens,0.824968474148802,0.766015132408575,0.7063333333333333,sgd,none,none
spec,0.8114754098360656,0.7704918032786885,0.7126666666666667,sgd,none,none
ppv,0.8257575757575758,0.7795275590551181,0.7215043577112542,sgd,none,none
npv,0.825,0.752,0.6951817020782538,sgd,none,none
f1,0.8251214434420542,0.7657808094015344,0.7052218550885753,sgd,none,none
bal-acc,0.824968474148802,0.766015132408575,0.7063333333333333,sgd,none,none
acc,0.8055555555555556,0.7619047619047619,0.7261960784313727,sgd,assoc,none
auroc,0.839407313997478,0.7771122320302647,0.7492948717948719,sgd,assoc,none
sens,0.8054854981084489,0.7619167717528372,0.7258974358974359,sgd,assoc,none
spec,0.8032786885245902,0.7622950819672131,0.7133333333333334,sgd,assoc,none
ppv,0.813953488372093,0.7734375,0.7330941003669157,sgd,assoc,none
npv,0.7967479674796748,0.75,0.7278571428571429,sgd,assoc,none
f1,0.8054054054054054,0.761769710720363,0.7247532097400873,sgd,assoc,none
bal-acc,0.8054854981084489,0.7619167717528372,0.7258974358974359,sgd,assoc,none
acc,0.8333333333333334,0.7619047619047619,0.7143529411764706,sgd,pred,none
auroc,0.8325031525851198,0.7609394703656998,0.7141794871794873,sgd,pred,none
sens,0.8331651954602775,0.7619167717528372,0.7141794871794872,sgd,pred,none
spec,0.8278688524590164,0.7622950819672131,0.7206666666666666,sgd,pred,none
ppv,0.8384615384615385,0.7734375,0.7312205008606807,sgd,pred,none
npv,0.8278688524590164,0.75,0.7014014970536709,sgd,pred,none
f1,0.8331651954602775,0.761769710720363,0.7134297036844492,sgd,pred,none
bal-acc,0.8331651954602775,0.7619167717528372,0.7141794871794872,sgd,pred,none
acc,0.7023809523809523,0.6468253968253969,0.5833725490196079,sgd,embed_lgbm,lgbm
auroc,0.7535308953341741,0.7034678436317781,0.6178205128205128,sgd,embed_lgbm,lgbm
sens,0.7022068095838587,0.6473518284993695,0.582051282051282,sgd,embed_lgbm,lgbm
spec,0.6967213114754098,0.6639344262295082,0.5333333333333334,sgd,embed_lgbm,lgbm
ppv,0.7131782945736435,0.6666666666666666,0.5903701024390681,sgd,embed_lgbm,lgbm
npv,0.6910569105691057,0.627906976744186,0.5779393746350268,sgd,embed_lgbm,lgbm
f1,0.7021511307225593,0.6468198352833725,0.580138804683847,sgd,embed_lgbm,lgbm
bal-acc,0.7022068095838587,0.6473518284993695,0.582051282051282,sgd,embed_lgbm,lgbm
acc,0.8293650793650794,0.75,0.7180392156862746,sgd,embed_linear,linear
auroc,0.9316519546027743,0.8534047919293821,0.8033397435897436,sgd,embed_linear,linear
sens,0.8293190416141236,0.7498738965952081,0.7178846153846153,sgd,embed_linear,linear
spec,0.8278688524590164,0.7459016393442623,0.7049999999999998,sgd,embed_linear,linear
ppv,0.8372093023255814,0.7596899224806202,0.7292048031928092,sgd,embed_linear,linear
npv,0.8211382113821138,0.7398373983739838,0.7219047619047619,sgd,embed_linear,linear
f1,0.8292333149476007,0.7498069498069498,0.7156345744705915,sgd,embed_linear,linear
bal-acc,0.8293190416141236,0.7498738965952081,0.7178846153846153,sgd,embed_linear,linear
acc,0.7857142857142857,0.7579365079365079,0.7341960784313726,sgd,wrap,none
auroc,0.7735182849936948,0.8159520807061791,0.7997692307692309,sgd,wrap,none
sens,0.7786885245901639,0.75,0.7292692307692308,sgd,wrap,none
spec,0.5573770491803278,0.5,0.5970000000000001,sgd,wrap,none
ppv,0.7065217391304348,0.680628272251309,0.69392717452214,sgd,wrap,none
npv,1.0,1.0,0.8449328449328449,sgd,wrap,none
f1,0.7719074756956085,0.7383177570093458,0.7245193924242986,sgd,wrap,none
bal-acc,0.7786885245901639,0.75,0.7292692307692308,sgd,wrap,none
