metric,trainset,holdout,5-fold,model,selection,embed_selector
acc,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
auroc,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
sens,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
spec,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
ppv,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
npv,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
f1,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
bal-acc,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
acc,1.0,1.0,1.0,lgbm,embed_linear,linear
auroc,1.0,1.0,1.0,lgbm,embed_linear,linear
sens,1.0,1.0,1.0,lgbm,embed_linear,linear
spec,1.0,1.0,1.0,lgbm,embed_linear,linear
ppv,1.0,1.0,1.0,lgbm,embed_linear,linear
npv,1.0,1.0,1.0,lgbm,embed_linear,linear
f1,1.0,1.0,1.0,lgbm,embed_linear,linear
bal-acc,1.0,1.0,1.0,lgbm,embed_linear,linear
acc,1.0,1.0,1.0,lgbm,wrap,none
auroc,1.0,1.0,1.0,lgbm,wrap,none
sens,1.0,1.0,1.0,lgbm,wrap,none
spec,1.0,1.0,1.0,lgbm,wrap,none
ppv,1.0,1.0,1.0,lgbm,wrap,none
npv,1.0,1.0,1.0,lgbm,wrap,none
f1,1.0,1.0,1.0,lgbm,wrap,none
bal-acc,1.0,1.0,1.0,lgbm,wrap,none
acc,1.0,1.0,1.0,lr,none,none
auroc,1.0,1.0,1.0,lr,none,none
sens,1.0,1.0,1.0,lr,none,none
spec,1.0,1.0,1.0,lr,none,none
ppv,1.0,1.0,1.0,lr,none,none
npv,1.0,1.0,1.0,lr,none,none
f1,1.0,1.0,1.0,lr,none,none
bal-acc,1.0,1.0,1.0,lr,none,none
acc,1.0,1.0,1.0,lr,assoc,none
auroc,1.0,1.0,1.0,lr,assoc,none
sens,1.0,1.0,1.0,lr,assoc,none
spec,1.0,1.0,1.0,lr,assoc,none
ppv,1.0,1.0,1.0,lr,assoc,none
npv,1.0,1.0,1.0,lr,assoc,none
f1,1.0,1.0,1.0,lr,assoc,none
bal-acc,1.0,1.0,1.0,lr,assoc,none
acc,1.0,1.0,0.998,lr,pred,none
auroc,1.0,1.0,1.0,lr,pred,none
sens,1.0,1.0,0.9979591836734695,lr,pred,none
spec,1.0,1.0,0.9959183673469388,lr,pred,none
ppv,1.0,1.0,0.9961538461538462,lr,pred,none
npv,1.0,1.0,1.0,lr,pred,none
